epoch,loss,mean_absolute_error,r_square,rmse,val_loss,val_mean_absolute_error,val_r_square,val_rmse
0,0.01738727188173655,0.08405566251361062,0.5537497185211558,0.12881328801295303,0.009857184941175509,0.05279482637979123,0.7394885767214893,0.09840440915396706
1,0.010441145721388488,0.060548496579963244,0.7303827310731067,0.10140792067260779,0.009108209673863998,0.04841599779033301,0.7582554299956206,0.09447699983562108
2,0.009536214988257427,0.055551365435439135,0.7552866815039748,0.09681993765889438,0.008429056203311776,0.04462254915746737,0.7768880944391638,0.09082042660560878
3,0.009001958129942908,0.05305255432634113,0.7666515832791994,0.09406801339937826,0.008590254766540973,0.04545892461367487,0.7711268013414283,0.09167324491803797
4,0.00878731438025562,0.0521274155251569,0.7724586943541831,0.09294081540961847,0.008076576394968548,0.04430896257973394,0.7866889405483256,0.08885777719854357
5,0.008461572719412174,0.05028990100515305,0.7816428305979649,0.09122600644912837,0.007989473583898982,0.044114735162591345,0.78843192749565,0.08835931946031796
6,0.008248932525074661,0.0495385455373493,0.7874800250505252,0.09001416392431409,0.007843872935931796,0.04485523031021286,0.7923946929062587,0.08753614384803289
7,0.008061680551696848,0.048970420691397246,0.7915692019764063,0.08900047112265586,0.007920256529925614,0.04275836432625365,0.7918809644924187,0.08801487159602073
8,0.007867500223697685,0.048132020726615675,0.7956724352715224,0.08795383414484473,0.00744432055109578,0.040940067151556424,0.8036104567091129,0.08519844609017697
9,0.007651415294860932,0.047295032395212634,0.8028278151894493,0.08673196874373394,0.00745193135760189,0.04144698545376389,0.8028807425879755,0.08533441408900105
10,0.007425872214430028,0.04681132022646989,0.8075027404599192,0.08544965212908807,0.007241465202131918,0.04110125135283293,0.8075903742950156,0.08400033432213522
11,0.0073228065693771325,0.046023433109774615,0.8102613309114521,0.08484519180277145,0.006938610113529156,0.03882554984306908,0.8163412273088809,0.08214845348351173
12,0.007181960685563645,0.04553695025745707,0.8140045600064112,0.0840516993069892,0.006969678879260171,0.03891070999912488,0.8149065723859217,0.08244588395982266
13,0.0070264089894563906,0.04484021833722143,0.8183570766196421,0.0830652799289342,0.006968159848756381,0.03939485643802751,0.8147457995135486,0.08237939180530271
14,0.006796156283852086,0.043823183040691355,0.8238282618040809,0.08170013387719166,0.006979766443120555,0.04049596555048423,0.8157295140420427,0.08245491415605993
15,0.006745030941746087,0.0435379303586436,0.8253325360976058,0.08130801325497297,0.006666624442175917,0.03868892175387575,0.8230995921932075,0.08053470854486315
16,0.006699986133709369,0.04346040413808382,0.8266030100100542,0.08106578703498452,0.006588427018962582,0.036423029120228094,0.8255049221898564,0.08000677488182326
17,0.006465324398746274,0.0423555479524262,0.8329007653083059,0.07961262911095357,0.006471593041607603,0.03632152519174773,0.8284649972695636,0.07923218687234353
18,0.006436707257963545,0.04225421231586097,0.8331506103467283,0.07935416726099527,0.006339063729922276,0.0381659168383138,0.8319552825844806,0.07843268442545301
19,0.006408015114903627,0.04211683638443877,0.8340224190107645,0.07922436753288428,0.006430269105354954,0.037234570758339566,0.8298988045055251,0.07899329740597066
20,0.006182664432230512,0.041339633465193384,0.8397781544190253,0.07776372456451758,0.006263558260729568,0.03649249715861115,0.8337059626562361,0.0778528992301506
21,0.0061395364362023565,0.04103002085741298,0.8408834466349232,0.0776218576093864,0.00627980221842995,0.03832209329083628,0.834387365388151,0.0780260239222881
22,0.006005120980904299,0.04059306418966463,0.8445801764873742,0.07676360370262471,0.006200354447556922,0.03662923557688784,0.8352981831187576,0.07745127762009216
23,0.006016780833660148,0.040469828367069645,0.8442238902273448,0.07672752953719117,0.006006274441341409,0.03572396422011617,0.840920633886806,0.07625177265297764
24,0.0058460858673283714,0.03989497423841396,0.8479711701737606,0.07567488994918577,0.006109330556276911,0.03364889913741846,0.8381877937143423,0.07690420614914124
25,0.005747720469065156,0.03909839833032654,0.8506485184697051,0.07514010125405578,0.006007057756347501,0.03508751420097586,0.8414788583050603,0.07615264975189
26,0.00575895538615267,0.03918340032063142,0.8515734698462887,0.07509680368875209,0.006129313345846473,0.03462810009327893,0.8375262577870088,0.07715620362954322
27,0.005626334631267533,0.03875371426204253,0.8543540156989716,0.07423070556830794,0.0059048696826009646,0.03347226154941738,0.8438257737929776,0.0755583752002881
28,0.005558739051179001,0.03836724803051671,0.85609723053454,0.07366806208115503,0.005857807224221402,0.03303652662311176,0.8454233807806643,0.0750848799943924
29,0.0055010120152377984,0.038201292277070024,0.856543169737087,0.07346116640403025,0.005836295743638975,0.03388104012307067,0.8451079050312025,0.07511071522307798
30,0.005404197325735585,0.03774005811681936,0.8595258774677256,0.07271575092575983,0.005738886212475578,0.034388468358682235,0.8479337820249421,0.07452099608007848
31,0.005317698529849728,0.03728893134185349,0.8617250546957634,0.07215238443746404,0.00562032486953357,0.03310390176233351,0.851181584644233,0.07370849446572872
32,0.005337821248898421,0.037376728612958716,0.8619470537075762,0.07231401893122806,0.005677319560885866,0.033110131601329494,0.8496945485565233,0.07402440935981516
33,0.005246020387096297,0.03690397298577839,0.8642717484699021,0.07164392087346808,0.005473182527364927,0.032209413101319834,0.8543795690984989,0.072602762096126
34,0.005177823749891155,0.036672301585070934,0.8658634176350005,0.07114772384396528,0.005481413246596028,0.032622879182633936,0.854552688964617,0.0726439395940928
35,0.005127115215958248,0.036354399993366954,0.8669783262476324,0.07071377378258542,0.005474631263880256,0.03180469034409883,0.8550843610738164,0.07257480657235542
36,0.005104691968314169,0.036280941683411644,0.8680618664870728,0.0706948747144689,0.0055228428094554445,0.032018236249037414,0.8541472121055081,0.07295436928744536
37,0.004976788623049852,0.0356458636758682,0.8702954210402545,0.069774420340116,0.0055680950486267314,0.03441184735340467,0.8528113373106523,0.07335039714108342
38,0.004937053361913179,0.03570240092888416,0.8722761341117397,0.06937790076904266,0.0054968667196766035,0.03178647072934533,0.8547313958009789,0.07285384689032133
39,0.004908676914854004,0.03550483173202684,0.8719021093659588,0.06923236173466711,0.005490261231265638,0.03246754497626818,0.8551279238186373,0.07257585148157646
40,0.004829868422762798,0.03492773507179023,0.8750619216493122,0.06869033182393254,0.005504015446190178,0.0326220168622199,0.8538659021932675,0.07293889978644376
41,0.004850216372460573,0.03501382130142139,0.8741636563012514,0.0688621130353612,0.0053340751021198046,0.03161393540490753,0.8587697401656021,0.0717554549160211
42,0.004725148326517272,0.034470165448264214,0.8767582139836116,0.06800133833367987,0.0052243577561836224,0.0322209609855882,0.8615679683786848,0.07088402493756855
43,0.004652762325755054,0.034222549313153425,0.8794184235227755,0.0673603298298849,0.005342244539788355,0.0317325027727298,0.857942982595794,0.07166738620733623
44,0.004603053619832546,0.034027988312074965,0.8810424700459534,0.06696236844254468,0.005155814664286314,0.031083442259186543,0.8634350412486397,0.07045603305855047
45,0.004569554447284903,0.033794750176805256,0.8807993169850606,0.0668959228598657,0.005256177968665389,0.031242515324898388,0.8610263589006033,0.07102903105920146
46,0.004575841581109771,0.033798302264244566,0.8823472077600188,0.06671770941192341,0.005145531175815118,0.03115658029689129,0.8632547253513082,0.07038209847808413
47,0.004498147465857629,0.03340844863023782,0.8834703485406805,0.06621236203601062,0.00509384173665199,0.031411224067171485,0.8654392536699824,0.06998683612367275
48,0.004506771933080984,0.0332721860581521,0.8826817294192139,0.06635180752001085,0.005300988979305421,0.03195660010793353,0.8599558245215463,0.0714299322800924
49,0.004421907594948833,0.032891404379340405,0.8853502435736037,0.06569777804835254,0.005079270798106411,0.03137896738999326,0.8655921703116917,0.06990563669494008
50,0.004416101526771255,0.03307508219428715,0.8858599633095791,0.06568132102940696,0.004996210939524416,0.030712816061017358,0.8674350341760488,0.06927770211261357
51,0.004380115893734042,0.03285015703109575,0.8871474101694033,0.06537624601817893,0.00515018195077486,0.03043171832504903,0.8638381232914929,0.07023546033552926
52,0.004364604910539765,0.03264125552635629,0.8861382925618172,0.06522279935692413,0.005177713071798514,0.03108533670648126,0.8624005841278035,0.070642909430093
53,0.004249703800550551,0.03218772985213863,0.889060688801583,0.06452540439410433,0.004970968851448593,0.030123887402637668,0.8686741528621054,0.06917361849662786
54,0.004244904973839677,0.032151512712393936,0.8898055281841936,0.06436666447569478,0.005024757735784882,0.02972569899879786,0.8673278851221384,0.06951118737604624
55,0.004184595158492648,0.031919490669537726,0.891862688581054,0.06390975204184689,0.004969291568518068,0.02940445462573971,0.868200070686645,0.06914536912447071
56,0.004137647363778875,0.03155176231764556,0.8932315696066597,0.06343084953898473,0.005000737181078798,0.031092489764636452,0.8668458875873603,0.06943087807353239
57,0.004077347109337952,0.03142670366139758,0.8934565178071076,0.06306120813885444,0.0048852153153414075,0.029694059880214025,0.8704958623134678,0.06836517731317822
58,0.004099326245693858,0.03130606554926275,0.893879212381624,0.06320699470576455,0.004949123876709772,0.030493843565036368,0.8685255996294537,0.06905079680927158
59,0.0040338450856982015,0.031035394988832996,0.8951502217276442,0.06273474243222282,0.004951113794278271,0.029717899153228873,0.8686442144063055,0.06879324128829808
60,0.003954612345441802,0.030721636365793965,0.8976355234316903,0.06209369971096188,0.005045994318577113,0.02907193214620175,0.8662362722770873,0.06962045968676311
61,0.003938549219283924,0.03079236314377513,0.8976882003513431,0.06197737894882465,0.004948062640833796,0.030100087943456293,0.8681543672518489,0.06901208085884747
62,0.003910795105098509,0.030714759854580723,0.8996938481372391,0.06155438256484552,0.0050610092040085245,0.029912366129345565,0.8659128850291234,0.06973785916616035
63,0.0038368318743429823,0.030027532123521366,0.9006385280463046,0.06107841046074254,0.0049616060733709225,0.029926386041221307,0.8683416004083595,0.06899665903296741
64,0.003814217862280813,0.0302363252441306,0.9015661951117901,0.06083783029222388,0.00496818874066013,0.030990236059505537,0.8678463403376839,0.0691275183432062
65,0.003870991403806698,0.030274668716914435,0.8999736994053704,0.061471999982425335,0.004758760323557927,0.02904768554062418,0.8737895745774128,0.06750957421898948
66,0.003821673841756923,0.029994996538534813,0.9005229471957027,0.0610104634133517,0.004879975994303492,0.02924600671629728,0.8705905379187034,0.06850173282697335
67,0.003739640124904128,0.029552136368788815,0.9024991916014188,0.06036085315847429,0.004777583564253988,0.028605642443408772,0.8732801463187216,0.06777259100562402
68,0.0037258482589052995,0.029579482306114985,0.9031926053387903,0.06026885772155853,0.0048782073358815915,0.028906812266625972,0.8710148406430696,0.06838369435616691
69,0.0037573962098941117,0.02948461787027353,0.9030410289850351,0.06053292750651121,0.004847572527011028,0.029950842410061563,0.8721557868299171,0.06805709897215745
70,0.00367476081376032,0.029111775886704393,0.9048441069824684,0.059669282652429836,0.004918418547837683,0.030980060792659487,0.86843581959116,0.06880090185362571
71,0.0035781010253063904,0.029020205759721484,0.9072674899197518,0.05890878709965436,0.004869260389511511,0.028515167886386323,0.8706946298942803,0.06816520719411316
72,0.00358762707097995,0.028756075930572424,0.9073181098725684,0.058941879552112865,0.004789557310231129,0.028192174154025532,0.8738717991055486,0.0677715688877753
73,0.00365485840774147,0.029051469182243866,0.9050887687836595,0.05961397826720359,0.005004142689747536,0.029232047523017363,0.8676627779705078,0.06919623062199687
74,0.0036288314246722395,0.02897354179702889,0.9056030441676577,0.05947414231426961,0.0048714973011402,0.028981249807559503,0.8719144185877735,0.06822806929619099
75,0.0034880409664704536,0.028253903327999725,0.9094076155161713,0.05816402529155009,0.004724015825334688,0.02823362306104155,0.8749782568919733,0.06711627685108752
76,0.003513412472873217,0.028248020537302132,0.908847532169334,0.05843046196059196,0.0047554157241706235,0.028515717875751228,0.8740991156187963,0.06757437881039324
77,0.003527938723142674,0.028299046496143093,0.9085011063145161,0.05856318426995149,0.004686779592156463,0.02750682285734797,0.8762284863174966,0.06685729336056333
78,0.0034758991448946373,0.02810225453892819,0.9098023786586319,0.058154451677082025,0.004676748153289984,0.02739986731524529,0.8761766908331687,0.0667820349996769
79,0.0034060823997076367,0.02776224048080245,0.9114515267733587,0.05753936650507608,0.00478388233000401,0.028209390870717742,0.8731352385421083,0.06757191298884846
80,0.003408323928390359,0.027756174479208185,0.9122540779607241,0.05736499636316615,0.00473188509678711,0.0273969268133763,0.8745262111407418,0.06709491928581549
81,0.003427160122031983,0.027873661806054363,0.9109805519539454,0.05755837621189719,0.004726826557691251,0.02907522548628044,0.8749474052739757,0.06735299248000427
82,0.0032943802367443173,0.027390652639837546,0.914486818068053,0.056630277870766604,0.004721438171946921,0.02844771795378074,0.8747238109570853,0.06729625015723674
83,0.0032824021564209498,0.027133645412438418,0.9153011434983046,0.05639611761809374,0.004782532447760638,0.02829892002707207,0.8731990520575454,0.06759581243835833
84,0.0032330510414752323,0.02702570096502076,0.9166425704182527,0.05604141717681101,0.00474365506306317,0.027203091082246618,0.8749460494930805,0.06744710823724306
85,0.003294031343995487,0.02716983170888268,0.9147519900651894,0.056497365556932924,0.004604306650664508,0.027415392596436584,0.8785467452461357,0.06623117169555352
86,0.0032680789542551643,0.027007927360593376,0.9147593152581882,0.05637542085557735,0.0046875960579490705,0.02763775629326106,0.8758812935455985,0.06687735541398904
87,0.0032144872431712156,0.02677149251975273,0.9168482151267388,0.055934334855490944,0.004801740858930278,0.028484342437974625,0.8727555893751616,0.06760943819171258
88,0.0032082115289204616,0.026723321071782484,0.917132507418576,0.055817946171628004,0.004597788434698781,0.027458448604264933,0.8780825169824771,0.06629937008591807
89,0.0032076081103954604,0.026899608851448514,0.9168384749390481,0.05574133021028828,0.004810088710155348,0.027077144178782507,0.8730325158338369,0.0678226769651421
90,0.003222879364419842,0.026569030105846176,0.9176346127545666,0.05586409299374023,0.004664431000087069,0.027259520143468823,0.875695633856512,0.06664568708074124
91,0.003156739618162497,0.026433289630375636,0.9179635839159216,0.05528866622757511,0.00462647898518501,0.02711493937263948,0.8778825841758139,0.06656786587548763
92,0.003143345252741679,0.026415018435342625,0.918834285327238,0.055162272380674136,0.004668837791257525,0.027949714039872998,0.8763199579747462,0.06667976509763164
93,0.0030918278001626095,0.026110372031562593,0.9199231300594128,0.054752149753506826,0.004658360433778804,0.027719850966768024,0.8765770555494523,0.06642867510720175
94,0.003182403632023313,0.026446113998011375,0.9166848609236048,0.05555649374555738,0.004749036321338818,0.026730811244047047,0.8752637941327471,0.06706680172348614
95,0.003073833919868413,0.0257895272157995,0.9202968289316491,0.054535484584699714,0.004693578643816876,0.02695748548931587,0.8763576060031089,0.0667708018148432
